"","ï..Time","Time..pretty.","Total.Time","IP.Address","UID","Session.ID","Actions","Landing.page","Web.Browser","Operating.System","Screen.Resolution","JavaScript","Language","Referrer.URL","Referrer.Domain","Referrer.Search","Geolocation","Latitude","Longitude","Hostname","Organization","Campaign","Goals.completed","Goals.incompleted","Goal.revenue","Goal.cost","ShortURL","Custom","Stats.URL"
"1",1602299237,"Fri Oct 9 2020, 11:07pm",29,"ac67a36a357f6ccf",1038623935,10887078,1,"http://www.mshlwa7dek.org/egypt/v13wi.html","Google Chrome 79.0 mobile","Android","360x640",1,"Arabic","","",NA,"Egypt",30.0355,31.223,"tedata.net","Te Data",NA,NA,NA,NA,NA,NA,NA,"http://clicky.com/stats/visitors-actions?site_id=101268486&session_id=10887078"
"2",1602285089,"Fri Oct 9 2020, 7:11pm",13,"3040800df5653f09",4260240579,10856103,2,"http://www.mshlwa7dek.org/egypt/v13wi.html","Google Chrome 85.0 mobile","Android","393x851",1,"Arabic","","",NA,"Cairo, Egypt",30.0778,31.2852,"tedata.net","Te Data",NA,NA,NA,NA,NA,NA,NA,"http://clicky.com/stats/visitors-actions?site_id=101268486&session_id=10856103"
"3",1602280968,"Fri Oct 9 2020, 6:02pm",30,"4a46715a1ffd9697",2049217233,10849131,1,"http://www.mshlwa7dek.org/egypt/v12wi.html","Google Chrome 86.0 mobile","Android","360x800",1,"Arabic","","",NA,"Giza, Egypt",30.008,31.2194,"tedata.net","Te Data",NA,NA,NA,NA,NA,NA,NA,"http://clicky.com/stats/visitors-actions?site_id=101268486&session_id=10849131"
"4",1602195015,"Thu Oct 8 2020, 6:10pm",10,"a78d68ff7720dea6",2493504841,10721757,1,"http://www.mshlwa7dek.org/egypt/v13wg.html","Google Chrome 79.0 mobile","Android","412x869",1,"Arabic","","",NA,"Assiut, Egypt",27.181,31.1837,"tedata.net","Te Data",NA,NA,NA,NA,NA,NA,NA,"http://clicky.com/stats/visitors-actions?site_id=101268486&session_id=10721757"
"5",1602176795,"Thu Oct 8 2020, 1:06pm",242,"d96110e551cf5e2c",2049217233,10688755,1,"http://www.mshlwa7dek.org/egypt/v12wi.html","Google Chrome 86.0 mobile","Android","360x800",1,"Arabic","","",NA,"Giza, Egypt",30.008,31.2194,"tedata.net","Te Data",NA,NA,NA,NA,NA,NA,NA,"http://clicky.com/stats/visitors-actions?site_id=101268486&session_id=10688755"
"6",1602165425,"Thu Oct 8 2020, 9:57am",10,"bf8a8863dc589506",2331459923,10665716,1,"http://www.mshlwa7dek.org/egypt/v10wg.html","Google Chrome 84.0 mobile","Android","600x1024",1,"Arabic","","",NA,"Banha, Egypt",30.4581,31.176,"tedata.net","Te Data",NA,NA,NA,NA,NA,NA,NA,"http://clicky.com/stats/visitors-actions?site_id=101268486&session_id=10665716"
"7",1602159158,"Thu Oct 8 2020, 8:12am",240,"2a2df9d5c3a319b9",3961953636,10655312,1,"http://www.mshlwa7dek.org/egypt/v13wi.html","Google Chrome 85.0 mobile","Android","360x640",1,"English","","",NA,"Cairo, Egypt",30.0778,31.2852,"tedata.net","Te Data",NA,NA,NA,NA,NA,NA,NA,"http://clicky.com/stats/visitors-actions?site_id=101268486&session_id=10655312"
"8",1602104723,"Wed Oct 7 2020, 5:05pm",30,"3699cbc3446cb8d0",501709178,10594577,1,"http://www.mshlwa7dek.org/egypt/v13wg.html","Google Chrome 85.0 mobile","Android","360x760",1,"Arabic","","",NA,"Alexandria, Egypt",31.2162,29.9529,"tedata.net","Te Data",NA,NA,NA,NA,NA,NA,NA,"http://clicky.com/stats/visitors-actions?site_id=101268486&session_id=10594577"
"9",1601955208,"Mon Oct 5 2020, 11:33pm",10,"1a519eb8d466d819",749634992,10356011,1,"http://www.mshlwa7dek.org/egypt/v8wi.html","Google Chrome 55.0 mobile","Android","360x640",1,"Arabic","","",NA,"Cairo, Egypt",30.0778,31.2852,"tedata.net","Te Data",NA,NA,NA,NA,NA,NA,NA,"http://clicky.com/stats/visitors-actions?site_id=101268486&session_id=10356011"
"10",1601936047,"Mon Oct 5 2020, 6:14pm",565,"3daf2898f3f51c5b",1314358055,10320877,1,"http://www.mshlwa7dek.org/egypt/v2wi.html","Google Chrome 79.0 mobile","Android","360x780",1,"Arabic","","",NA,"Suez, Egypt",29.9737,32.5263,"tedata.net","Te Data",NA,NA,NA,NA,NA,NA,NA,"http://clicky.com/stats/visitors-actions?site_id=101268486&session_id=10320877"
