"","index","answer_mar","answer_unm"
"137","4033",NA,"العمل و قضاء بعض الوقت مع الاصدقاء"
"138","4038",NA,"دراسة وعمل"
"139","4051",NA,"اعمل كمعلم لغة إنجليزية خارج المنزل وشغل البيت والعناية بالأسرة"
"140","4072",NA,"اعمل خارج المنزل لبعض الوقت والباقي لا شئ"
"141","4076",NA,"الخروج ومقابله الاصدقاء ومشاوير خارج المنزل ورحلات بالاضافه لجزء من الوقت في البيت بالتبادل مع ما سبق"
"142","4085",NA,"الدراسه والعمل"
"143","4089",NA,"دراسة وشغل المنزل والاهتمام بالاسرة"
"144","4162","جوزي مريض واقوم برعايته وساعات بروح لوالدتي المريضة بالقلب",NA
"145","4197","العمل فى المنزل و الدراسه فى رسالة الماجيستير",NA
"146","4218",NA,"الدراسه وشغلي"
"147","4230","استاذ جامعي",NA
"148","4244",NA,"العمل ف المنزل والدراسه"
"149","4318",NA,"العمل خارج المنزل والدراسة بالمنزل"
"150","4342",NA,"دراسه وعمل"
"151","4344","شغل البيت والعنايه بالاطفال",NA
"152","4369",NA,"ربه منزل بالمعاش"
"153","4380",NA,"عمل تطوعى لانى لم اجد عمل وامارس هواية الرسم"
"154","4393","بدأ حملي في اخر ديسمبر 2019 واستلزم الامر الراحة في البيت قبل كورونا وقبل ديسمبر كنت اعمل في خارج المنزل",NA
"155","4441","اخري",NA
"156","4463","التدريبات مع أولادي وعملي وشغل البيت",NA
"157","4631",NA,"لا اعمل"
"158","4670","تدريبات الاولاد والذهاب للنادى يوميا",NA
"159","4684","لا شيء",NA
"160","4694",NA,"القراءة العامة والمشاركة في أعمال المنزل لعدم توفر عمل"
"161","4703",NA,"تدريب ف المستشفي وشغل البيت"
"162","4705","ما بشتغلش ووقتي كله للبيت والعيال والخروجات قبل وبعد واحد ما فرقتش",NA
"163","4729",NA,"تكملة الدكتوراه"
"164","4775",NA,"لا اعمل و قليل ما اعمل شغل البيت والعنايه بالاسرة"
"165","4814",NA,"دراسه وشغل مع بعض"
"166","4863",NA,"العمل خارج المنزل و الدراسه"
"167","4900","القراءة ، المذاكرة للاولاد",NA
"168","5018","دراسة وتمارين بناتى  وزيارات عائلية",NA
"169","5036","تمارين وكورسات خارج المنزل وبجانب العنايه بالمنزل والاسره",NA
"170","5058","كان وقتي مابين شغل البيت والذهاب لمدرسة ودروس  الاولاد و والذهاب للنادي بالاولاد",NA
"171","5061",NA,"النوم"
"172","5075","كنت في تدريب لخدمة عملي،",NA
"173","5221",NA,"العناية  بالمنزل  ومتطلباته  و بعض الوقت اخرج لتنزه مع اصدقائي  ومقابلة اختي المتزوجة"
"174","5269","لا اعمل",NA
"175","5286",NA,"دروس القرآن بالمسجد"
"176","5359","مساعدة أولادي ف الدراسة بالكامل",NA
"177","5360","الدراسة والعمل ورعاية الاسرة الثلاث انشطة بالتساوي",NA
"178","5377",NA,"الدراسة وأعمال المنزل لمساعدة والدتي"
"179","5378",NA,"خارج المنزل وداخل المنزل غير شغل البيت ورعاية الاسرة"
"180","5390",NA,"الدراسه وشغل البيت او العنايه بالاسره"
"181","5448","شغل البيت",NA
"182","5450","+ العمل من المنزل و العمل في المنزل",NA
"183","5475",NA,"جلسات الكيماوي والبيت"
"184","5505","الرسم القرأه  التفصيل  خدمات اجتماعيه",NA
"185","5533",NA,"العمل بالمنزل و اغسل كلي"
