"","index","answer_mar","answer_unm"
"138","2563",NA,"حاصله على اجازه استثنائية من قبل الدولة"
"139","2565","ف اجازه وضع",NA
"140","2586","داخل المنزل",NA
"141","2597",NA,"لا اعمل"
"142","2615","العمل داخل والمنزل ودراسة الابحاث اونلاين بالمنزل",NA
"143","2636",NA,"ملازمة المنزل نظرا الظروف الفيروس والخروج للضروره"
"144","2688",NA,"العمل من المنزل للشغل و شغل البيت"
"145","2712",NA,"النوم"
"146","2736",NA,"استخدام الهاتف وتصفح الانترنت"
"147","2752",NA,"العمل من المنزل شغل خارجي وشغل البيت"
"148","2770",NA,"مشاهدة المسلسلات و الدراسة"
"149","2776",NA,"لا افعل شيء"
"150","2828",NA,"الدراسة عن بعد"
"151","2838",NA,"لا اعمل"
"152","2846",NA,"النوم"
"153","2887",NA,"القراءة والبحث"
"154","2893",NA,"Don't know"
"155","2922",NA,"التزام بالحجر المنزلي بعد وقف الدراسه"
"156","2925",NA,"الدراسه"
"157","2963",NA,"النوم والمطبخ"
"158","2980","تدريبات اون لاين",NA
"159","2983",NA,"البيت"
"160","2994",NA,"ولا حاجه"
"161","3006","اعمل جزء داخل المنزل وجزء خارجه بالاضافه الى للدراسه داخل المنزل",NA
"162","3074","إجازة استثنائية",NA
"163","3086","لايوجد عمل اساساً",NA
"164","3118","لااعمل",NA
"165","3136","دورات و كورسات اونلاين",NA
"166","3141",NA,"الجلوس ف المنزل"
"167","3163",NA,"ممارسة الهوايات المفضلة لي وتصفح الانترنت"
"168","3178",NA,"العمل فى المنزل :شغل البيت  بجانب الدراسه من البيت"
"169","3204",NA,"ولا حاجه"
"170","3216",NA,"للعمل التطوعي الهلال الاحمر المصري"
"171","3232","القراءة",NA
"172","3276",NA,"لا شئ معين. طبخ واكل ونوم واقضي وقتي عاليوتيوب"
"173","3281","اجازات",NA
"174","3316",NA,"اللعب علي الهاتف،الرسم،الرياضه،الطبخ"
"175","3343","اجازة استثنايية",NA
"176","3344",NA,"شغل البيت"
"177","3350","لا يوجد شغل خالص",NA
"178","3413",NA,"العمل والدراسه"
"179","3418",NA,"عاطله عن العمل ومتواجده بالمنزل"
"180","3439",NA,"لاشئ"
"181","3451","تمارين بنتي",NA
"182","3491",NA,"لا اعمل"
"183","3492",NA,"للاسف اعمل يوظيفتي الحكوميه فقط ولم اجد عمل اخر"
"184","3535",NA,"لا اعمل اي شئ"
"185","3564",NA,"لا اعمل"
"186","3568",NA,"لا افعل شئ"
"187","3576",NA,"عاطل"
"188","3596",NA,"مش باعمل اي حاجه ساعات قليله باخرج للعمل خارج المنزل ولكن العمل متوقف اذهب فقط ف مكان العمل"
"189","3602",NA,"اعمل جليسه مسنين"
"190","3674",NA,"تعليم كورسات"
"191","3708",NA,"النوم"
"192","3726",NA,"لا اعمل"
"193","3732",NA,"اجازة استثنائية من العمل بسبب وجود اطفال اقل من 12 عام"
"194","3742","لا يوجد",NA
"195","3748","انشطه اجتماعيه",NA
"196","3773","شغلى بعملو فى البيت",NA
"197","3782",NA,"ولا حاجه؟"
"198","3819",NA,"مش بعمل حاجه خالص وقاعده في البيت"
"199","3825","البيت والدراسه",NA
"200","3845",NA,"ربه منزل"
"201","3918","لا اعمل حاليا",NA
"202","3947","لا يوجد عمل",NA
"203","3949",NA,"لا اعمل"
"204","3957",NA,"لا اعمل اهتم ببنتي وامي وامور المنزل"
"205","3959",NA,"اعمال يدويه"
"206","3966",NA,"دراسه وعمل خارج المنزل وعمل فى المنزل"
"207","4025",NA,"بالإضافة إلي شغل البيت"
"208","4039",NA,"العمل و الدراسه من المنزل"
"209","4085",NA,"الدراسه والعمل"
"210","4135",NA,"اشياء ترفيهية"
"211","4142",NA,"بدون عمل"
"212","4156",NA,"لا يوجد اي عمل"
"213","4182","ابحث عن عمل",NA
"214","4193",NA,"بدون عمل"
"215","4217",NA,"الجلوس فى المنزل"
"216","4227",NA,"متخرجه حديثا ولم اعمل بعد"
"217","4244",NA,"العمل ف المنزل والدراسه عن بعد والامتحانات وكده<U+0001F642>"
"218","4289",NA,"لا اعمل بسبب الكورونا"
"219","4310","اجازه استثنائيه رعايه الاطفال",NA
"220","4318",NA,"معظم الوقت ضائع فى اشياء لاقيمه لها"
"221","4380",NA,"الرسم وممارسة الرياضة بالمنزل وقراءة القرءان"
"222","4384","شغل البيت فقط",NA
"223","4394",NA,"النوم و الدراسة و بعض الاعمال"
"224","4399",NA,"لا شي من هذا"
"225","4406",NA,"دراسة بالاضافة لبعض اعمال المنزل"
"226","4410","اجازه علشان حامل",NA
"227","4412",NA,"باهتم بتطوير الذات باخذ كورسات اونلاين في مجالي"
"228","4431","قاعده فى البيت مش بعمل غير شغل البيت ورعايه اولادى",NA
"229","4432",NA,"مشاهده التلفزيون و النوم و الفيس بوك"
"230","4497","اشغال حره",NA
"231","4501",NA,"اجازة"
"232","4514",NA,"اعمل خارج المنزل وأقوم بالعمل في رعاية شئون المنزل بجانب الدراسة لبعض الكورسات علي النت"
"233","4543",NA,"و اتفرج علي افلام و اقعد مع ابن أختي"
"234","4563","لاشئ قاعده بالبيت مافي شغل لان الدنيا وباء",NA
"235","4570",NA,"تصفح الإنترنت"
"236","4602",NA,"الدراسه مع عمل المنزل"
"237","4624",NA,"ف المنزل ولا اعمل"
"238","4642",NA,"دراسة في البداية بسبب موضوع الابحاث وشغل بسيط online والوقت بدأت ادرس تاني"
"239","4650",NA,"القراءة"
"240","4665",NA,"لا شئ"
"241","4677",NA,"الدراسه وشغل البيت"
"242","4694",NA,"القراءة والمشاركة في أعمال المنزل"
"243","4705","في البيت مع الاولاد والتلفزيون",NA
"244","4729",NA,"عمل بالمنزل وتكملة رسالة الدكتوارة"
"245","4753",NA,"لاشئ"
"246","4755","لا شئ",NA
"247","4771",NA,"ولا اي حاجة قاعدة مع اخواتي بنلعب جيمز او بقعد ارسم"
"248","4775",NA,"قليل من شغل البيت"
"249","4778",NA,"ادرس من المنزل"
"250","4810","العمل من البيت والعناية بالمنزل والاسرة",NA
"251","4812",NA,NA
"252","4814",NA,"دراسه واعمال المنزل"
"253","4830","لا أعمل",NA
"254","4863",NA,"توفق الشغل و الدراسه أيضاً"
