"","ResponseId","v1","assignment","should_exclude","responded","geometry","governatore"
"52","R_10SPtA2YCxV1Vi3",1480,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"53","R_10TpDJc0Z3Jedgp",2316,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"54","R_10Tu2EdLxGKBW1M",617,"Control",0,1,c(29.9528961181641, 31.2162017822266),"Alexandria"
"55","R_10VMm8wUfcWpJRh",1358,"Remind_Show",0,1,c(32.6535949707031, 25.6954956054688),"Luxor"
"56","R_10Vq8yP7VS7qmJr",2665,"WhatsApp_Ind",0,1,c(30.7530975341797, 28.1112976074219),"Menia"
"57","R_10Yp2qeFQ4syKDr",3193,"WhatsApp_Ind",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"58","R_10Zs8uUPMhZVaNs",1883,"Remind_Show",0,1,c(32.7266998291016, 26.1641998291016),"Qena"
"59","R_10o4r5iACJYOkDU",2335,"WhatsApp_Group",0,1,c(31.6947937011719, 26.5570068359375),"Suhag"
"60","R_10oV9PuI1HVhe3v",3362,"Remind_Show",0,1,c(31.6947937011719, 26.5570068359375),"Suhag"
"61","R_10owZ7v2vrZbCUm",3180,"WhatsApp_Ind",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"62","R_10pGXURMDGPpaM3",2069,"WhatsApp_Group",0,1,c(31.8105010986328, 31.4165954589844),"0"
"63","R_10rb7zwfIUrn0VT",680,"Control",0,1,c(31.0003967285156, 30.7866058349609),"Gharbia"
"64","R_10rfELOfPSqSmsD",2985,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"65","R_10rx8Ft5WN0t2WY",3227,"WhatsApp_Ind",0,1,c(31.1867065429688, 27.1817016601562),"Assiut"
"66","R_10uzYCQvcHZRV9v",3124,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"67","R_10v0pB6Gp38eCQr",1934,"WhatsApp_Ind",0,1,c(30.841796875, 29.3099060058594),"Fayoum"
"68","R_115YB4aywOdy3g9",503,"Control",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"69","R_11WPH9WuMweWB7L",2320,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"70","R_11X7MFnnHytZx2t",3896,"Remind_Show",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"71","R_11XDLsdCl9lpzwh",4196,"WhatsApp_Ind",0,1,c(29.9528961181641, 31.2162017822266),"Alexandria"
"72","R_11XXHx108GCjy6u",2718,"WhatsApp_Group",0,1,c(29.9528961181641, 31.2162017822266),"Alexandria"
"73","R_11XbnnkuXDz0v5T",2232,"Remind_Show",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"74","R_11XdzMX92MHuij9",3186,"WhatsApp_Group",0,1,c(29.9528961181641, 31.2162017822266),"Alexandria"
"75","R_11YIB3YEO229hd3",3349,"Remind_Show",0,1,c(31.4393005371094, 30.7568969726562),"Sharkia"
"76","R_11YYSRCJTYklLSQ",1906,"WhatsApp_Ind",0,1,c(30.4716033935547, 31.0321044921875),"Behera"
"77","R_11YdLla0o0uA9lI",831,"Facebook",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"78","R_11Yk5MRpps5HTdT",151,"Facebook",0,1,c(29.9528961181641, 31.2162017822266),"Alexandria"
"79","R_11aLzAl5e7ltiqY",2190,"WhatsApp_Ind",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"80","R_11bEht1nFncRN6M",2875,"Remind_Show",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"81","R_11bTwX1r6eVl8nn",3424,"WhatsApp_Ind",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"82","R_11bVPk9MyomJM2I",1382,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"83","R_11bgAPuUu7YD5nP",2287,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"84","R_11c5pSFruBgTW3T",264,"Control",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"85","R_11dazcIxQKUH8WU",2206,"Remind_Show",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"86","R_11dpVEd5uoTqBqT",2694,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"87","R_11gUocQxoS9yuHl",1017,"Facebook",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"88","R_11iTrwUjINt6kgo",4118,"WhatsApp_Ind",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"89","R_11jPlUucLntBAAF",3865,"WhatsApp_Ind",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"90","R_11jVh78igxpvGEN",3514,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"91","R_11jguWRucj3Ja3q",3455,"WhatsApp_Ind",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"92","R_122L4YKG4MAme7N",324,"Control",0,1,c(30.841796875, 29.3099060058594),"Fayoum"
"93","R_123GyGgV0HGlMoj",3820,"WhatsApp_Group",0,1,c(29.9528961181641, 31.2162017822266),"Alexandria"
"94","R_123YiESzBKclE7I",2317,"WhatsApp_Group",0,1,c(31.2055969238281, 29.3377990722656),"Beni Suef"
"95","R_129yR5hF0QYngWJ",401,"Facebook",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
