"","ResponseId","v1","assignment","should_exclude","responded","geometry","governatore"
"939","R_1pnkmKfuJAsGmW6",1605,"WhatsApp_Ind",0,1,c(31.1867065429688, 27.1817016601562),"Assiut"
"940","R_1prIqV9CcsgqJkw",3631,"WhatsApp_Group",0,1,c(32.7266998291016, 26.1641998291016),"Qena"
"941","R_1prr7f7dQGqAZt1",4211,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"942","R_1psTMuutRqhmTQJ",2865,"Remind_Show",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"943","R_1ptBwNWqHtZ94ue",39,"Control",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"944","R_1ptGW9tDooCuYEv",2472,"WhatsApp_Group",0,1,c(31.0003967285156, 30.7866058349609),"Gharbia"
"945","R_1pthc6wyhrVKU4B",862,"Facebook",0,1,c(30.4716033935547, 31.0321044921875),"Behera"
"946","R_1ptyLcS1jsKCpIm",4043,"Remind_Show",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"947","R_1pxv7uNFjBghl1u",2924,"WhatsApp_Ind",0,1,c(31.6947937011719, 26.5570068359375),"Suhag"
"948","R_1pyvvdfn28zci5e",1218,"Control",0,1,c(32.2758941650391, 30.6045989990234),"Ismailia"
"949","R_1pz1Zhkrl3i2N2A",1814,"Remind_Show",0,1,c(30.4716033935547, 31.0321044921875),"Behera"
"950","R_1q3Qw6o4iaJKIyH",2991,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"951","R_1q3XjODPHdG3sh9",3524,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"952","R_1q3xtFb4nhtogFv",1547,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"953","R_1q82AE5DSoAgiBV",2736,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"954","R_1q88tuwglh3Kx4O",1486,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"955","R_1q8lD0rqPNhchVr",3641,"WhatsApp_Ind",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"956","R_1q9EFtMFhY04wyB",2575,"Remind_Show",0,1,c(31.2194061279297, 30.0079956054688),"Giza"
"957","R_1q9G8S0zy8NADM7",1661,"Remind_Show",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"958","R_1q9RGgYAuKrm8RP",1100,"Facebook",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"959","R_1qU5mPB1CeoGmkb",2887,"Remind_Show",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"960","R_1qUOusvmuoynVGu",918,"Control",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"961","R_1qURSlqXI8zZ0Zk",295,"Control",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"962","R_1qX6TRDXUR9w80P",1162,"Control",0,1,c(31.2006988525391, 30.3538970947266),"Kalyoubia"
"963","R_1qXtXwGY1I7eou9",2549,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"964","R_1qaXRkftvFhsmdz",1050,"Control",0,1,c(31.3843994140625, 31.0370941162109),"Dakahlia"
"965","R_1qfwjeH6ogRFk4N",3697,"Remind_Show",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"966","R_1r075GVZfNRKYWC",3511,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"967","R_1r17dI09NwemL7r",380,"Facebook",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"968","R_1r1AsjQCcAs3yan",520,"Control",0,1,c(29.9528961181641, 31.2162017822266),"Alexandria"
"969","R_1r1DSSAMUaqYu89",525,"Control",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"970","R_1r1aeoNDcefqQPN",2579,"Remind_Show",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"971","R_1r2D9g941SsywGt",681,"Control",0,1,c(31.1867065429688, 27.1817016601562),"Assiut"
"972","R_1r6vERekwug3FDm",9,"Control",0,1,c(31.2230072021484, 30.0355072021484),"0"
"973","R_1r7Fpocaqkk96F7",3236,"WhatsApp_Group",0,1,c(31.3843994140625, 31.0370941162109),"Dakahlia"
"974","R_1r7xD1t6dmgLPGm",3199,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"975","R_1r86CP20QHR162i",1675,"Remind_Show",0,1,c(32.2758941650391, 30.6045989990234),"Ismailia"
"976","R_1r8oPz0nkioitjP",2138,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"977","R_1r9tsvMbMUbIhzB",1861,"Remind_Show",0,1,c(32.5263061523438, 29.9736938476562),"Suez"
"978","R_1rACJKwLlx1RnAr",3607,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"979","R_1rCSa0WcjEEZmNc",2061,"WhatsApp_Ind",0,1,c(30.7530975341797, 28.1112976074219),"Menia"
"980","R_1rCfFlAmrv3jSiI",2333,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"981","R_1rHfiGUdNHPWRBB",1057,"Control",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"982","R_1rIdleUXitBKn8H",1993,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"983","R_1rJRjWlTlUDYkfL",1624,"WhatsApp_Group",0,1,c(31.3843994140625, 31.0370941162109),"Dakahlia"
"984","R_1rMJJj8cu4MGFm3",394,"Facebook",0,1,c(32.2758941650391, 30.6045989990234),"Ismailia"
"985","R_1rNAui6KM8X5Daz",3291,"WhatsApp_Ind",0,1,c(31.6947937011719, 26.5570068359375),"Suhag"
"986","R_1rNdyrQGXmfoDQ0",2161,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"987","R_1rNfKvzN4I2apzd",106,"Control",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"988","R_1rc65JPX5DCtnsm",607,"Control",0,1,c(32.2841033935547, 31.2565002441406),"Port Said"
"989","R_1rcS8STm3rNq3Kc",1217,"Control",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"990","R_1rcaTahbXl8dKUC",1069,"Control",0,1,c(30.7530975341797, 28.1112976074219),"Menia"
"991","R_1rdKJl4t31UmlU4",1796,"Remind_Show",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"992","R_1rdWaiQsmUqd6d3",1689,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"993","R_1rdiQKFGAUIMnUQ",2177,"WhatsApp_Group",0,1,c(32.6535949707031, 25.6954956054688),"Luxor"
"994","R_1rjMgq97VHI6Fe1",1811,"Remind_Show",0,1,c(29.9528961181641, 31.2162017822266),"Alexandria"
"995","R_1roDr9iOMTTEUiq",1955,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"996","R_1robfCkO1V46Xoh",3384,"Remind_Show",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"997","R_1rpFsfH7mgah8Pt",1465,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"998","R_1rpHG0WKCKwOdPP",3673,"Remind_Show",0,1,c(31.2194061279297, 30.0079956054688),"Giza"
"999","R_1rq28OvT91Hvap0",1898,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1000","R_1rqScc1pomzLAWY",281,"Control",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1001","R_1rriReqcTgBtKDr",3667,"Remind_Show",0,1,c(31.8105010986328, 31.4165954589844),"0"
"1002","R_1rrkeSwG1rOWZCp",3102,"WhatsApp_Ind",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1003","R_1rvH6LQR3Smz2xD",2719,"WhatsApp_Ind",0,1,c(29.9528961181641, 31.2162017822266),"Alexandria"
"1004","R_1rvNe2BF8tRp4nR",715,"Control",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1005","R_1rww8YANUaGSGnw",849,"Facebook",0,1,c(29.9528961181641, 31.2162017822266),"Alexandria"
"1006","R_1rwwcWZaUsHs8IH",2360,"WhatsApp_Group",0,1,c(31.2194061279297, 30.0079956054688),"Giza"
"1007","R_1rwyTTqdmpEIunJ",262,"Control",0,1,c(29.9528961181641, 31.2162017822266),"Alexandria"
"1008","R_1zRfa6wIuGLQXZL",3930,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1009","R_20M7ERouHs7Z4dA",3061,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1010","R_20MaYN9fiiUu2Nm",2470,"WhatsApp_Group",0,1,c(30.4716033935547, 31.0321044921875),"Behera"
"1011","R_20Mtqtc3k13C17g",2252,"Remind_Show",0,1,c(31.0003967285156, 30.7866058349609),"Gharbia"
"1012","R_20NcJuBaGEKdIcL",3540,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1013","R_20PBcsGrJueXhhr",1404,"WhatsApp_Group",0,1,c(29.9528961181641, 31.2162017822266),"Alexandria"
"1014","R_20Pao2X6fSifkro",1581,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1015","R_20SBIKOeQN8d28C",4060,"Remind_Show",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1016","R_20U7Wqmo1BIUWAZ",2454,"WhatsApp_Group",0,1,c(32.9069976806641, 24.0933990478516),"Aswan"
"1017","R_20UwRCW6Dcf1bJL",1603,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1018","R_20VvQiSCjYQamml",3434,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1019","R_20Ydhv5iYvi9Rv2",4077,"Remind_Show",0,1,c(31.3007965087891, 29.8414001464844),"Cairo"
"1020","R_20ZDUSVK83Ocqw6",1886,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1021","R_20ZH3q43VQ854Ng",3011,"WhatsApp_Group",0,1,c(29.9528961181641, 31.2162017822266),"Alexandria"
"1022","R_20ZiAc8sCOVHKC9",3756,"WhatsApp_Group",0,1,c(29.9528961181641, 31.2162017822266),"Alexandria"
"1023","R_20ZjpVKLZ3fo9wK",2067,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1024","R_20ZqOql8W6aw0kg",3851,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1025","R_210WTeL5t7R71cK",1392,"WhatsApp_Ind",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1026","R_210bFQT6vHL3H60",857,"Facebook",0,1,c(31.5028991699219, 30.5872955322266),"Sharkia"
"1027","R_2118qCSP8eHWS85",2840,"Remind_Show",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1028","R_214HI0lmBWxcNRT",2873,"Remind_Show",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1029","R_217iOuJTpdre99K",1945,"WhatsApp_Ind",0,1,c(29.9528961181641, 31.2162017822266),"Alexandria"
"1030","R_21EOGlcqmdLBoTf",1881,"Remind_Show",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1031","R_21EUYvi4d02UITp",2125,"WhatsApp_Group",0,1,c(29.9528961181641, 31.2162017822266),"Alexandria"
"1032","R_21GTCWC3ARtRsbh",3420,"WhatsApp_Ind",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1033","R_21GqlmXaTTuPrk1",1131,"Control",0,1,c(29.9528961181641, 31.2162017822266),"Alexandria"
"1034","R_21Gs2n7TS5RPjjA",3747,"WhatsApp_Ind",0,1,c(31.0003967285156, 30.7866058349609),"Gharbia"
"1035","R_21HrqIRDxGHC93M",2892,"Remind_Show",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1036","R_21agA0HVVYjZGzW",943,"Control",0,1,c(32.2758941650391, 30.6045989990234),"Ismailia"
"1037","R_21aqbmFtAHdw9LV",182,"Control",0,1,c(31.2194061279297, 30.0079956054688),"Giza"
"1038","R_21b55N45agry92w",654,"Facebook",0,1,c(29.9528961181641, 31.2162017822266),"Alexandria"
"1039","R_21bwxxfVRfJPCen",456,"Control",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1040","R_21ciX4X0qztSUqh",2376,"WhatsApp_Ind",0,1,c(32.9069976806641, 24.0933990478516),"Aswan"
"1041","R_21cxtspq1BEdURj",3891,"Remind_Show",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1042","R_21d3Ca2VpMtnpGK",3479,"WhatsApp_Group",0,1,c(32.5263061523438, 29.9736938476562),"Suez"
"1043","R_21iIA9OG9O8TfU2",1174,"Facebook",0,1,c(29.9528961181641, 31.2162017822266),"Alexandria"
"1044","R_21ihsof4QqbKKyK",3413,"WhatsApp_Ind",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1045","R_21jhKDVsFLIq05Z",1586,"WhatsApp_Ind",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1046","R_21jl24NEqTwdfFb",2307,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1047","R_21mvE9zUHedhdEf",3415,"WhatsApp_Group",0,1,c(31.0977935791016, 29.0744018554688),"Beni Suef"
"1048","R_21n4FrbY7LSKbT6",1209,"Control",0,1,c(29.9528961181641, 31.2162017822266),"Alexandria"
"1049","R_21ngsxbVW938ihm",3052,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1050","R_21ngtE7dzju6qel",4059,"Remind_Show",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1051","R_21vQGGYHUhuacX7",2729,"WhatsApp_Ind",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1052","R_21vtbquiGrSBa2e",195,"Control",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1053","R_21vxofELB36hgwA",2518,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1054","R_21vy3HJc749dlFS",233,"Control",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1055","R_21vyek02kTXoema",2965,"WhatsApp_Ind",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1056","R_21zT7fGD1goPTA3",3841,"WhatsApp_Ind",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1057","R_21zgXqpKgDmkuUO",955,"Control",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1058","R_22CYS1ub4WQUdmk",3350,"Remind_Show",0,1,c(29.9528961181641, 31.2162017822266),"Alexandria"
"1059","R_22DZXGGp4DZFFPy",389,"Facebook",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1060","R_22DeCcpvSXY8KQd",3520,"WhatsApp_Ind",0,1,c(31.0003967285156, 30.7866058349609),"Gharbia"
"1061","R_22DmjpUycKXN2vw",3427,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1062","R_22G5HGk4UKRuiwb",3315,"WhatsApp_Ind",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1063","R_22KTqbPoW7J8ONQ",2836,"Remind_Show",0,1,c(31.3843994140625, 31.0370941162109),"Dakahlia"
"1064","R_22Kx61g9DUmvVnG",2614,"Remind_Show",0,1,c(30.7530975341797, 28.1112976074219),"Menia"
"1065","R_22M8NeEiKZKXCF7",4091,"WhatsApp_Group",0,1,c(31.2194061279297, 30.0079956054688),"Giza"
"1066","R_22PkjkvabfPBi8b",2225,"Remind_Show",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1067","R_22PluixI8eUjtYj",2874,"Remind_Show",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1068","R_22Rdq4bCMmrP7hW",946,"Control",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1069","R_22Sb4jl9LznLuXh",2082,"WhatsApp_Group",0,1,c(31.5028991699219, 30.5872955322266),"Sharkia"
"1070","R_22V9AgNEgR3upJQ",310,"Control",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1071","R_22Wagcj7QAaY2rP",3766,"WhatsApp_Ind",0,1,c(31.0003967285156, 30.7866058349609),"Gharbia"
"1072","R_22WkRo95UfjGiFu",3221,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1073","R_22YtKAFyLX0cOgn",432,"Control",0,1,c(29.9528961181641, 31.2162017822266),"Alexandria"
"1074","R_22lZaFyRdu0tfBH",1298,"Remind_Show",0,1,c(31.2006988525391, 30.3538970947266),"Kalyoubia"
"1075","R_22mBR7K1IlwQavQ",655,"Facebook",0,1,c(30.7530975341797, 28.1112976074219),"Menia"
"1076","R_22mJZdNLjpw9X0B",1701,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1077","R_22mP9DpYaBc2hEu",1864,"Remind_Show",0,1,c(30.7530975341797, 28.1112976074219),"Menia"
"1078","R_22mPzt22Dt8rQjh",109,"Facebook",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1079","R_22n7b7RrfXOW89c",2752,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1080","R_22nrbO22METyyq3",1360,"Remind_Show",0,1,c(29.9528961181641, 31.2162017822266),"Alexandria"
"1081","R_22s5yqQkr6eil0j",2318,"WhatsApp_Ind",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1082","R_22t3xmrYVsaSMHf",691,"Control",0,1,c(31.3843994140625, 31.0370941162109),"Dakahlia"
"1083","R_22tA71ZMlKXzGve",3698,"Remind_Show",0,1,c(29.9528961181641, 31.2162017822266),"Alexandria"
"1084","R_22taWprCoxPxXMa",486,"Facebook",0,1,c(29.9528961181641, 31.2162017822266),"Alexandria"
"1085","R_22ueZJSPybPsjEp",3693,"Remind_Show",0,1,c(31.6947937011719, 26.5570068359375),"Suhag"
"1086","R_22wWgFUOVp9zECl",140,"Facebook",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1087","R_22x0HV2g7S8ipUS",2634,"WhatsApp_Ind",0,1,c(30.4716033935547, 31.0321044921875),"Behera"
"1088","R_22y5YBMlWDDissR",3076,"WhatsApp_Ind",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1089","R_22ysQd2kEgSGoTH",1216,"Control",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1090","R_231c63c1fHfriO8",572,"Control",0,1,c(29.9528961181641, 31.2162017822266),"Alexandria"
"1091","R_231sj4mDdFirmGh",2813,"Remind_Show",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1092","R_233uHOGxeW5aL9u",3329,"Remind_Show",0,1,c(29.9528961181641, 31.2162017822266),"Alexandria"
"1093","R_234s4DMbVfgtbdz",3323,"Remind_Show",0,1,c(33.8180999755859, 27.2528991699219),"Red Sea"
"1094","R_238kpoV8jqELCbL",7,"Control",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1095","R_23TwSWoxU4Ikj8B",1287,"Facebook",0,1,c(29.9528961181641, 31.2162017822266),"Alexandria"
"1096","R_23V3DQdDMOlECzr",823,"Facebook",0,1,c(31.0003967285156, 30.7866058349609),"Gharbia"
"1097","R_23W8xixFOkSpfhA",3538,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1098","R_23WSy3FrD8Ott9p",1432,"WhatsApp_Ind",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1099","R_23agweE35joaa1M",3991,"WhatsApp_Ind",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1100","R_23ajoeUtyCHxQF9",3720,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1101","R_23ay1S39I7PQK6B",1350,"Remind_Show",0,1,c(31.6947937011719, 26.5570068359375),"Suhag"
"1102","R_23dVMVHPpwZMp59",347,"Control",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1103","R_23dd9xm1vVhBqV5",3062,"WhatsApp_Group",0,1,c(31.3843994140625, 31.0370941162109),"Dakahlia"
"1104","R_23duRtTqjhTlVBP",3661,"Remind_Show",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1105","R_23eg4WzVzhWTJ7E",998,"Facebook",0,1,c(31.2194061279297, 30.0079956054688),"Giza"
"1106","R_23gmkKioNBfNgGG",1810,"Remind_Show",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1107","R_240JhhtzvLmpEIs",333,"Control",0,1,c(31.3843994140625, 31.0370941162109),"Dakahlia"
"1108","R_240rgDiS1wQaH2p",1186,"Facebook",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1109","R_241PHMPBsKHF6R0",3179,"WhatsApp_Group",0,1,c(31.5028991699219, 30.5872955322266),"Sharkia"
"1110","R_241U6y8WbA1N0z6",1564,"WhatsApp_Ind",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1111","R_242ELBhw50ylH5c",3782,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1112","R_242ZOnOkAHMEv8R",4087,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1113","R_242ZyHHr4pjkI6r",1820,"Remind_Show",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1114","R_242befMMVDRCRJy",2355,"WhatsApp_Ind",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1115","R_242buKurZoAJTVa",1178,"Facebook",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1116","R_242cTEhbDHs6I8e",4153,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1117","R_242hq3WoO4sLxWF",446,"Control",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1118","R_2434bZKZtXqjytZ",2666,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1119","R_2464QnA8dAcJO3F",2763,"WhatsApp_Ind",0,1,c(29.9528961181641, 31.2162017822266),"Alexandria"
"1120","R_248anAH1rEEMWAO",674,"Control",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1121","R_24AA9FrbVzjASSW",3088,"WhatsApp_Group",0,1,c(31.0003967285156, 30.7866058349609),"Gharbia"
"1122","R_24ABvfKoyDJjUhQ",2246,"Remind_Show",0,1,c(32.9069976806641, 24.0933990478516),"Aswan"
"1123","R_24B4U64wrjMYSEi",2535,"WhatsApp_Group",0,1,c(31.2230072021484, 30.0355072021484),"0"
"1124","R_24CTXDgsZ3eGOv5",2815,"Remind_Show",0,1,c(31.2194061279297, 30.0079956054688),"Giza"
"1125","R_24CYf1rj66VFnP5",3748,"WhatsApp_Ind",0,1,c(29.9528961181641, 31.2162017822266),"Alexandria"
"1126","R_24I32gFmKGNJb1e",319,"Control",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1127","R_24MZSUVdu2baiH2",3314,"WhatsApp_Ind",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1128","R_24Mjrcq5nZxRbiP",1269,"Facebook",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1129","R_24NMonMOSsAh2Uk",240,"Control",0,1,c(31.3843994140625, 31.0370941162109),"Dakahlia"
"1130","R_24NtmFQ5BIPlRUj",3838,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1131","R_24P3trrszgtl5qx",2087,"WhatsApp_Ind",0,1,c(29.9528961181641, 31.2162017822266),"Alexandria"
"1132","R_24PmURv4Fr3ciBA",2843,"Remind_Show",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1133","R_24X36Gqlpi5lEM9",3749,"WhatsApp_Ind",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1134","R_24cOJzvhS0S8sTv",2550,"WhatsApp_Ind",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1135","R_24cqL7z1gQO1p0G",1579,"WhatsApp_Ind",0,1,c(30.7037048339844, 30.7593994140625),"Behera"
"1136","R_24ehdrk58ZGZhec",1026,"Facebook",0,1,c(30.841796875, 29.3099060058594),"Fayoum"
"1137","R_24f31eyX3WnjLx8",1839,"Remind_Show",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1138","R_24i0iDsvWdrrOOj",410,"Facebook",0,1,c(32.6535949707031, 25.6954956054688),"Luxor"
"1139","R_24iNHbKzD92qh8j",661,"Control",0,1,c(29.9528961181641, 31.2162017822266),"Alexandria"
"1140","R_24jA4w1ycSZbW76",2757,"WhatsApp_Group",0,1,c(29.9528961181641, 31.2162017822266),"Alexandria"
"1141","R_24l4Wyp8BsmA5cm",2304,"WhatsApp_Ind",0,1,c(29.9528961181641, 31.2162017822266),"Alexandria"
"1142","R_24otfIKY6Ao6Zif",2341,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1143","R_24pHzaRUC4gdn79",660,"Control",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1144","R_24q4BLRC1sTMj69",2006,"WhatsApp_Group",0,1,c(31.6788024902344, 30.5377044677734),"Sharkia"
"1145","R_24rfNqQAGgNFYVo",1612,"WhatsApp_Ind",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1146","R_24sACl72GPJmGLD",3769,"WhatsApp_Ind",0,1,c(32.5263061523438, 29.9736938476562),"Suez"
"1147","R_24tPXIGC6eZuvuO",3894,"Remind_Show",0,1,c(31.2194061279297, 30.0079956054688),"Giza"
"1148","R_24uEFPFphbBpgJ8",3210,"WhatsApp_Group",0,1,c(29.9528961181641, 31.2162017822266),"Alexandria"
"1149","R_24uTAMAh9lWp0sJ",3568,"WhatsApp_Ind",0,1,c(31.1867065429688, 27.1817016601562),"Assiut"
"1150","R_24uyEjclkF6a1cK",1273,"Facebook",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1151","R_24vLF8Wqac7CSwx",1922,"WhatsApp_Group",0,1,c(30.4716033935547, 31.0321044921875),"Behera"
"1152","R_24w1OUWSAw2LEeZ",3475,"WhatsApp_Ind",0,1,c(31.8105010986328, 31.4165954589844),"0"
"1153","R_24wxPo6k9kaYJf6",597,"Control",0,1,c(29.9528961181641, 31.2162017822266),"Alexandria"
"1154","R_24zPjYWBAJXhJR4",2842,"Remind_Show",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1155","R_251i76c6AgP5sgp",3336,"Remind_Show",0,1,c(31.6947937011719, 26.5570068359375),"Suhag"
"1156","R_25FoMyBSOeKlL7f",3410,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1157","R_25GYJt55SgjbUiL",1859,"Remind_Show",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1158","R_25HlHlbWGSHPY1s",2478,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1159","R_25LLXQkbDwcG1Gx",2371,"WhatsApp_Ind",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1160","R_25MHdmzqOZQQyvk",3708,"WhatsApp_Ind",0,1,c(32.5263061523438, 29.9736938476562),"Suez"
"1161","R_25N0cgCh6m4OFnp",3158,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1162","R_25NqaLa4UnoePAI",2260,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"1163","R_25QKnr0E8X5P9M6",2474,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
